"","gene","IL-1_1","IL-1_2","IL-1_3","LPS_1","LPS_2","LPS_3","PAM_1","PAM_2","PAM_3","Con_1","Con_2","Con_3"
"7099","630952",0,0,0,0,0,0,0,0,0,0,0,2
"7100","13587",0,0,0,0,0,0,0,0,0,0,0,3
"7101","74954",0,0,0,0,0,0,1,2,0,0,0,2
"7102","666647",0,0,0,0,0,0,0,0,0,0,0,0
"7103","666660",0,0,0,0,0,0,0,0,0,0,0,0
"7104","666675",0,0,0,0,0,0,0,0,0,0,0,0
"7105","666678",0,0,0,0,0,0,0,0,0,0,0,1
"7106","385138",0,0,0,3,1,0,0,0,0,0,0,0
"7107","666723",0,0,0,0,0,0,1,0,0,0,0,0
"7108","666744",0,0,0,0,0,0,0,0,0,0,0,0
"7109","19214",0,0,0,0,2,0,0,0,0,0,0,0
"7110","100124437",0,0,0,0,0,0,1,0,0,0,0,0
"7111","73895",0,0,0,1,0,0,0,2,0,0,0,0
"7112","19217",3,3,0,1,0,0,2,0,0,0,0,0
"7113","70561",331,338,355,327,323,333,283,350,157,184,138,135
"7114","70713",4,3,2,11,3,2,1,7,3,2,1,0
"7115","50527",2249,2182,2523,3200,2429,2715,2491,2532,1120,1244,741,990
"7116","100503256",0,0,0,0,0,0,0,0,0,0,0,0
"7117","67089",7440,8493,8515,9002,7160,8286,6940,8805,7118,5063,4520,10967
"7118","100504523",6,10,15,22,9,15,3,1,7,11,5,12
"7119","56291",36,43,65,83,46,74,38,28,29,51,18,29
"7120","54342",953,1016,979,1030,678,917,777,919,831,621,459,1347
"7121","218952",4518,4786,4833,5713,4392,5263,4431,5437,2747,3143,2122,2980
"7122","67651",0,0,2,1,0,0,1,0,0,0,2,2
"7123","114874",233,292,242,213,162,282,183,220,127,126,106,180
"7124","100628600",0,0,0,0,0,0,0,0,0,0,0,0
"7125","320367",0,0,0,0,3,0,0,0,0,1,0,1
"7126","666834",3,1,6,6,3,4,1,4,5,0,4,2
"7127","218963",2,6,5,11,2,9,9,8,3,3,1,12
"7128","100041724",0,0,0,2,0,3,0,0,0,0,0,0
"7129","12159",185,170,217,57,56,48,90,75,82,169,111,175
"7130","100502795",0,0,0,0,0,0,0,0,0,0,0,0
"7131","72391",315,290,419,399,281,310,271,302,231,215,167,383
"7132","12793",7230,7827,7895,8271,6097,7749,5915,6598,5969,4720,3618,6588
"7133","63985",4201,4455,4332,4672,3811,4162,3575,4026,2832,2867,1824,2900
"7134","328388",53,51,53,25,33,42,35,27,29,31,17,47
"7135","68755",593,628,723,686,639,733,558,710,548,471,413,996
"7136","74480",506,467,564,822,711,1117,479,538,313,302,171,290
"7137","14528",764,815,899,1734,1180,1503,1048,1226,703,132,159,322
"7138","218973",621,468,512,505,273,318,290,217,206,377,222,212
"7139","67296",158,203,171,238,173,218,174,195,127,139,95,165
"7140","218975",1333,1095,1301,1629,1192,1313,808,665,416,888,338,280
"7141","16854",2424,2947,3053,2966,2311,2887,2447,2882,1925,1654,1303,2708
"7142","218977",856,701,878,855,591,641,597,652,437,683,400,383
"7143","78938",336,287,366,395,295,350,284,233,151,215,142,101
"7144","100504663",427,403,423,298,312,427,263,193,161,283,177,145
"7145","16709",2989,3139,3002,4384,3382,3878,2969,2969,2132,1559,1154,1779
"7146","73961",2,0,0,0,0,0,0,0,0,0,0,2
"7147","93834",5,0,1,5,1,5,6,0,1,0,1,1
"7148","624367",10,7,7,0,4,4,0,3,1,3,1,7
"7149","218989",266,319,357,325,231,323,277,303,142,183,119,176
"7150","18424",0,0,0,0,0,0,0,2,0,0,0,0
"7151","606497",0,0,0,0,0,0,0,0,0,0,0,0
"7152","100041864",5,2,2,3,0,1,1,0,1,2,1,0
"7153","66770",0,0,0,0,0,0,0,0,0,0,0,0
"7154","218993",0,0,0,0,0,0,0,0,0,0,0,0
"7155","105504",2103,1956,2107,2428,1717,2204,1736,1995,1141,1631,1009,1534
"7156","74385",353,479,412,409,297,329,329,446,283,240,222,345
"7157","70646",468,406,400,417,441,591,382,434,291,272,222,390
"7158","67082",0,0,1,0,0,1,0,1,1,2,0,3
"7159","75288",0,4,0,0,0,0,0,0,0,0,0,0
"7160","67419",0,0,2,0,0,0,1,0,0,0,0,3
"7161","258487",0,0,0,0,0,0,0,0,0,0,0,1
"7162","259147",0,0,0,0,0,0,0,0,0,0,0,0
"7163","258485",0,0,0,0,1,0,0,0,0,0,0,0
"7164","100041975",0,0,1,0,0,0,0,1,4,0,0,1
"7165","258314",0,0,0,0,0,0,1,0,0,0,1,0
"7166","258313",0,0,0,0,0,0,1,0,0,0,0,0
"7167","258316",0,0,0,0,1,0,2,0,0,0,0,0
"7168","258039",0,0,0,0,0,0,0,0,0,0,0,0
"7169","258275",0,0,0,0,0,0,0,0,0,0,0,0
"7170","258486",0,0,0,0,0,0,0,0,0,0,0,0
"7171","258360",0,0,0,0,3,0,0,0,0,0,0,0
"7172","258659",0,0,1,0,0,0,0,0,0,0,0,0
"7173","258657",0,0,0,0,0,0,0,0,0,0,0,0
"7174","258658",0,0,0,0,0,0,0,0,0,0,0,0
"7175","257909",0,0,0,0,0,0,1,0,0,0,0,0
"7176","239081",0,0,0,0,0,0,0,0,0,0,0,0
"7177","258660",0,0,2,0,0,0,0,0,0,0,0,0
"7178","258662",0,0,0,0,0,0,0,0,0,0,0,0
"7179","258663",0,0,0,0,0,0,0,0,0,0,0,0
"7180","258661",0,0,2,0,0,0,0,1,0,0,0,0
"7181","258233",0,0,0,0,0,0,0,0,0,0,0,0
"7182","73889",0,0,0,0,0,0,0,0,0,0,0,0
"7183","258422",0,0,0,0,0,0,0,0,0,0,0,0
"7184","219019",0,0,0,0,0,2,0,0,0,0,0,0
"7185","257884",0,0,0,0,0,0,0,0,1,0,0,0
"7186","258296",0,0,0,0,0,0,0,0,0,0,0,0
"7187","258295",0,0,0,0,0,0,0,0,0,0,0,0
"7188","258264",0,0,0,0,0,0,0,0,0,0,0,0
"7189","258113",1,0,0,0,0,0,0,0,0,0,0,0
"7190","56858",0,0,0,0,0,0,0,0,0,0,0,0
"7191","219022",529,519,623,670,513,529,488,515,381,328,287,371
"7192","239083",1,0,0,0,1,3,0,0,1,0,0,0
"7193","85029",61,54,49,48,30,25,37,32,32,16,21,33
"7194","11546",1055,1080,1094,1286,868,1108,836,930,948,738,520,1134
"7195","21745",240,288,272,222,192,263,198,186,159,182,94,146
"7196","546611",3,0,1,0,4,2,1,0,2,0,4,0
"7197","328399",3,7,1,1,5,3,6,0,3,0,0,0
"7198","66246",1085,1224,1377,1313,1028,1352,1131,1252,912,757,617,1265
"7199","11792",1532,1599,1652,1759,1302,1439,1234,1180,1347,1033,852,2094
"7200","219024",371,340,432,320,170,286,270,447,382,172,237,485
"7201","18950",1701,1931,1888,2320,1857,2318,1743,2041,1677,948,839,1607
"7202","667034",3,5,0,2,0,9,0,1,5,0,1,0
"7203","75019",0,2,3,1,1,3,1,2,0,1,0,2
"7204","328401",0,0,0,0,0,0,0,0,0,0,0,0
"7205","497113",0,0,0,0,0,0,0,0,0,0,0,0
"7206","497106",0,0,0,0,0,0,0,0,0,0,0,0
"7207","404319",0,1,0,0,0,2,4,0,0,0,0,0
"7208","11727",6,19,15,15,18,13,16,23,15,1,2,12
"7209","58809",218,256,308,245,220,258,238,456,187,125,98,277
"7210","219026",0,0,0,0,0,0,2,0,0,0,0,0
"7211","78416",0,0,1,0,3,2,0,0,0,0,0,1
"7212","19752",0,0,0,0,0,0,0,0,0,0,0,0
"7213","54159",0,0,0,1,0,4,2,0,0,0,0,2
"7214","11731",0,0,0,0,0,0,0,0,0,0,0,0
"7215","503847",0,2,0,0,0,1,0,0,0,0,0,0
"7216","93726",0,0,0,0,0,0,0,0,0,0,0,0
"7217","75377",2,0,0,0,0,0,2,0,0,0,0,2
"7218","638695",0,0,0,0,0,2,0,0,0,0,0,2
"7219","669149",0,0,1,0,0,0,0,0,1,0,0,0
"7220","22301",0,0,1,0,1,0,0,1,0,0,0,0
"7221","434459",0,0,0,0,0,0,3,0,0,0,0,0
"7222","545047",4,0,0,0,0,2,0,0,0,0,0,0
"7223","219033",0,0,0,0,0,0,0,0,0,0,0,0
"7224","278676",4,0,3,1,3,0,0,0,1,3,0,0
"7225","93719",0,0,0,0,0,0,0,0,0,0,0,0
"7226","52535",731,764,793,737,499,644,469,586,509,413,344,491
"7227","214922",3,10,6,7,3,9,2,1,3,7,7,4
