Gene_ID,IL.1_1,IL.1_2,IL.1_3,LPS_1,LPS_2,LPS_3,PAM_1,PAM_2,PAM_3,Con_1,Con_2,Con_3
70300,2.403921821,2.702675312,2.544058607,2.623511353,2.544977161,2.983985404,2.520961166,2.053351402,2.137879395,2.915854203,1.121190281,1.754960696
11771,4.933727514,4.313362092,4.711211398,4.597424115,4.495836703,5.185602282,4.147983314,2.929778943,3.23190149,5.290850591,3.578831244,3.001449437
78070,5.46274775,5.306242301,5.49619399,5.394373025,5.310246307,5.35032192,5.46824772,5.256206178,5.160532669,5.517987488,4.809036445,4.191643842
15469,4.602804284,4.141842692,3.952368837,4.026894983,3.983664872,4.667605672,3.948736944,3.506744318,3.467239062,4.586350815,2.857536401,3.374329634
100502630,1.907962181,2.793807036,2.453337932,1.844566806,1.697229324,1.894184344,1.84454034,2.123946023,2.558404201,2.349482017,2.881955417,3.424016316
75736,3.083690654,2.804804153,2.888780021,3.118526109,2.885948527,2.340141421,2.731297581,2.356729622,3.271708254,2.947802967,2.881955417,2.827744959
54131,5.623635188,5.508122829,5.590433547,5.846357355,5.93395635,5.919460576,5.8421529,5.822875066,5.775532219,5.342837873,5.590929647,5.344111727
233208,2.025499078,2.024761805,2.157440907,2.094435742,1.860668017,2.134326153,2.099083647,0.306290504,0.826008634,2.442117853,1.276617441,0.257007026
20130,4.333253663,4.406546308,4.554806077,4.399414698,4.419219814,4.476127593,4.352685119,4.772162893,4.419401039,3.637773119,3.969076519,4.46521265
233210,1.987374265,1.369339301,1.219394249,0.765161888,1.00791285,1.953254831,0.839653111,0.84125142,0.752886939,1.838151989,-1.174003885,1.500867142
65116,2.805556982,2.737527767,2.838455924,2.623511353,2.301108933,2.279882342,2.5553845,2.276359614,2.641778886,2.550127386,2.781696982,2.098816074
66394,5.54379211,5.618195775,5.591953206,5.500213962,5.696703892,5.645716732,5.81931732,5.393514149,5.564720526,5.788840969,5.541966696,5.589750998
52377,7.624775993,7.690363238,7.729627003,7.731152938,7.792601472,7.822677913,7.815561413,7.711013262,7.515347014,7.656774073,7.66425818,7.271779698
14132,5.478294423,5.834857296,5.754118809,5.353875333,5.735841348,5.722715142,5.992617239,6.467976304,5.279204802,5.009841646,5.358368454,5.653626356
27207,9.030009048,9.435207939,9.403737055,9.399301414,9.220547454,9.263435278,9.486429454,9.378054038,10.0603623,9.137236865,9.881209743,10.34362756
22121,8.796405923,9.420648822,9.167849561,9.168368486,9.067708295,9.089078243,9.332114286,9.161437507,9.479904968,8.718175645,9.428758057,9.678577341
14256,1.340114656,2.115883833,1.887344203,1.517931167,2.18249604,2.082350297,2.412470371,1.73034504,2.166316614,1.403857466,1.919766478,1.453800474
69748,3.922878622,3.911978826,3.834071081,3.844051383,4.242733212,4.215628766,4.096314531,3.193204714,3.17705743,4.276193438,3.335328361,2.244211243
68845,5.314731185,5.676235827,5.534631622,5.504845236,5.524527358,5.604852173,5.427013584,5.47903959,5.485119915,5.620655879,5.704815837,5.9385556
21677,5.759911346,5.294587064,5.590433547,5.448263881,5.481213519,5.779582669,5.257037671,4.731292846,4.4134819,5.702523764,4.936909504,4.155330331
68667,2.528623763,2.782725449,2.807396722,2.956672167,3.182295876,3.210714955,3.053753316,2.191246823,1.853051402,1.999274201,0.946973737,0.362708462
20637,4.746687619,4.702477291,4.994677256,4.872915128,4.780799226,4.702456471,4.813684348,4.453730159,4.72202129,5.087183548,5.192561291,4.367013403
20174,8.343592761,8.377299531,8.374550095,8.540759728,8.587363458,8.45824683,8.460386121,8.314044796,8.676249415,8.433345125,8.715013712,8.952091749
14936,6.248086888,5.92832801,6.078527437,6.063869799,5.980619406,6.092566705,5.868060199,5.269242953,4.988058418,6.402678292,5.463236577,4.730070493
14325,6.298584835,6.233137309,6.485723723,6.355555494,6.419156115,6.27824579,6.602061623,6.965205085,6.718781498,5.986351535,6.427222881,7.261566819
12028,7.565764056,7.723701173,7.689023034,7.689381541,7.586638509,7.697980197,7.780523466,7.64802951,7.611551887,7.485739942,7.686090063,7.668219524
